,gender,race,race_o,field,met,match,d_d_age,d_importance_same_race,d_importance_same_religion,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,d_interests_correlate,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,d_like,d_guess_prob_liked
0,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[4-6],[2-5],[2-5],[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
1,female,asian/pacific islander/asian-american,european/caucasian-american,law,1.0,0,[0-1],[2-5],[2-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
2,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,law,1.0,1,[0-1],[2-5],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[0-5],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[0-4]
3,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,1,[2-3],[2-5],[2-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
4,female,asian/pacific islander/asian-american,latino/hispanic american,law,0.0,1,[2-3],[2-5],[2-5],[21-100],[0-15],[16-20],[0-15],[0-15],[16-20],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
5,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[4-6],[2-5],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[0-5],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
6,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[7-37],[2-5],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
7,female,asian/pacific islander/asian-american,european/caucasian-american,law,,0,[4-6],[2-5],[2-5],[21-100],[0-15],[0-15],[0-15],[0-15],[21-100],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[9-10],[6-8],[6-8],[0-5],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[7-10]
8,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,1,[7-37],[2-5],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[7-10]
9,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[2-3],[2-5],[2-5],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[-1-0],[0-4],[0-3],[3-5],[6-8],[5-6]
